iter	Passed	Remaining
641	1925	1073
642	1927	1070
643	1930	1067
644	1933	1064
645	1935	1060
646	1938	1057
647	1941	1054
648	1944	1051
649	1947	1048
650	1950	1045
651	1952	1042
652	1955	1039
653	1958	1036
654	1961	1033
655	1964	1029
656	1966	1026
657	1969	1023
658	1972	1020
659	1975	1017
660	1978	1014
661	1980	1011
662	1983	1008
663	1986	1005
664	1988	1001
665	1992	999
666	1995	996
667	1998	993
668	2000	989
669	2003	986
670	2006	983
671	2009	980
672	2011	977
673	2014	974
674	2016	970
675	2019	967
676	2021	964
677	2025	962
678	2028	958
679	2031	956
680	2034	953
681	2037	950
682	2040	946
683	2043	944
684	2046	940
685	2048	937
686	2051	934
687	2053	931
688	2056	928
689	2059	925
690	2061	922
691	2064	918
692	2067	915
693	2070	912
694	2073	909
695	2075	906
696	2078	903
697	2081	900
698	2084	897
699	2087	894
700	2091	891
701	2094	889
702	2097	885
703	2099	882
704	2102	879
705	2105	876
706	2108	873
707	2111	870
708	2115	868
709	2118	865
710	2121	862
711	2124	859
712	2127	856
713	2129	853
714	2132	849
715	2134	846
716	2137	843
717	2140	840
718	2143	837
719	2145	834
720	2148	831
721	2151	828
722	2153	825
723	2157	822
724	2160	819
725	2162	816
726	2165	813
727	2168	810
728	2170	807
729	2173	803
730	2176	800
731	2178	797
732	2181	794
733	2184	791
734	2186	788
735	2189	785
736	2192	782
737	2195	779
738	2197	776
739	2200	773
740	2202	770
741	2205	766
742	2208	763
743	2211	760
744	2214	757
745	2217	754
746	2219	751
747	2222	748
748	2225	745
749	2227	742
750	2230	739
751	2232	736
752	2235	733
753	2238	730
754	2241	727
755	2244	724
756	2246	721
757	2249	718
758	2251	715
759	2255	712
760	2258	709
761	2261	706
762	2265	703
763	2268	700
764	2270	697
765	2273	694
766	2276	691
767	2278	688
768	2281	685
769	2284	682
770	2286	679
771	2289	676
772	2292	673
773	2294	670
774	2297	666
775	2299	663
776	2302	660
777	2305	657
778	2308	654
779	2310	651
780	2313	648
781	2316	645
782	2319	642
783	2322	639
784	2325	636
785	2327	633
786	2329	630
787	2332	627
788	2335	624
789	2338	621
790	2340	618
791	2343	615
792	2346	612
793	2348	609
794	2351	606
795	2354	603
796	2357	600
797	2359	597
798	2362	594
799	2364	591
800	2367	588
801	2370	585
802	2373	582
803	2375	579
804	2378	576
805	2380	573
806	2383	570
807	2386	567
808	2389	564
809	2392	561
810	2394	558
811	2397	555
812	2400	552
813	2402	549
814	2405	546
815	2408	543
816	2410	540
817	2413	537
818	2416	533
819	2418	530
820	2422	528
821	2425	525
822	2427	522
823	2431	519
824	2433	516
825	2436	513
826	2439	510
827	2442	507
828	2444	504
829	2447	501
830	2449	498
831	2452	495
832	2455	492
833	2458	489
834	2460	486
835	2464	483
836	2466	480
837	2468	477
838	2472	474
839	2474	471
840	2477	468
841	2480	465
842	2483	462
843	2486	459
844	2489	456
845	2492	453
846	2495	450
847	2498	447
848	2500	444
849	2503	441
850	2506	438
851	2509	435
852	2511	432
853	2514	429
854	2516	426
855	2519	423
856	2522	420
857	2524	417
858	2527	414
859	2530	411
860	2533	408
861	2536	406
862	2539	403
863	2541	400
864	2544	397
865	2547	394
866	2549	391
867	2552	388
868	2556	385
869	2559	382
870	2561	379
871	2565	376
872	2568	373
873	2570	370
874	2573	367
875	2576	364
876	2578	361
877	2581	358
878	2583	355
879	2586	352
880	2589	349
881	2592	346
882	2596	344
883	2599	341
884	2602	338
885	2605	335
886	2608	332
887	2610	329
888	2613	326
889	2616	323
890	2619	320
891	2621	317
892	2624	314
893	2626	311
894	2629	308
895	2632	305
896	2635	302
897	2638	299
898	2640	296
899	2644	293
900	2647	290
901	2649	287
902	2653	285
903	2656	282
904	2659	279
905	2661	276
906	2664	273
907	2667	270
908	2670	267
909	2672	264
910	2675	261
911	2679	258
912	2681	255
913	2684	252
914	2686	249
915	2689	246
916	2692	243
917	2694	240
918	2697	237
919	2700	234
920	2703	231
921	2706	228
922	2708	225
923	2712	223
924	2715	220
925	2719	217
926	2721	214
927	2724	211
928	2726	208
929	2729	205
930	2732	202
931	2735	199
932	2739	196
933	2742	193
934	2745	190
935	2747	187
936	2750	184
937	2753	181
938	2756	179
939	2758	176
940	2761	173
941	2764	170
942	2766	167
943	2769	164
944	2772	161
945	2775	158
946	2778	155
947	2780	152
948	2783	149
949	2786	146
950	2789	143
951	2791	140
952	2794	137
953	2796	134
954	2799	131
955	2802	128
956	2805	126
957	2807	123
958	2810	120
959	2813	117
960	2816	114
961	2819	111
962	2822	108
963	2824	105
964	2827	102
965	2830	99
966	2832	96
967	2836	93
968	2839	90
969	2842	87
970	2845	84
971	2848	82
972	2851	79
973	2854	76
974	2856	73
975	2859	70
976	2861	67
977	2864	64
978	2866	61
979	2869	58
980	2872	55
981	2875	52
982	2878	49
983	2880	46
984	2883	43
985	2886	40
986	2888	38
987	2891	35
988	2894	32
989	2896	29
990	2899	26
991	2902	23
992	2905	20
993	2907	17
994	2910	14
995	2912	11
996	2915	8
997	2918	5
998	2921	2
999	2923	0
